system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A2B,3,13,20,1.86594356992282,0.000040943533997,1,0.000040943533997,24423.880949602837
A2B,3,13,20,1.8552885199896991,0.0000563210149994,2,0.0000281605074997,35510.72366186725
A2B,3,13,20,1.8450197810307143,0.0000571099730441,4,0.000014277493261,70040.30621602279
A2B,3,13,20,1.849185228929855,0.0000574327950598,8,7.1790993824834e-6,139293.2381518417
A2B,3,13,20,1.8621117169968784,0.0000575758140766,16,3.598488379793708e-6,277894.4641353344
A2B,3,13,20,1.85839654202573,0.0000575554999522,32,1.7986093735089525e-6,555985.093110615
A2B,3,13,20,1.8599859060486776,0.000057118171011,64,8.92471422048402e-7,1120484.057298774
A2B,3,13,20,1.8695804440649224,0.0000567262979457,128,4.4317420270090236e-7,2256449.030438937
A2B,3,13,20,1.8636641750345009,0.0000564657100476,256,2.205691798735643e-7,4533724.977230386
A2B,3,13,20,1.8623738520545885,0.0000577728470088,512,1.1283759181424105e-7,8862294.771819048
A2B,3,13,20,1.86665013700258,0.0000581320599885,1024,5.676958983258373e-8,17615064.737107463
A2B,3,13,20,1.8649787100730464,0.0000622390940552,2048,3.0390182644168816e-8,32905363.27829136
A2B,3,13,20,1.8813564880983904,0.0001084810530301,4096,2.648463208743124e-8,37757745.574822165
A2B,3,13,20,1.8739151749759912,0.0001566904910141,8192,1.9127257203876975e-8,52281411.25206944
A2B,3,13,20,1.901460224064067,0.0003337104619713,16384,2.0368070188681036e-8,49096452.96468593
A2B,4,22,35,1.9039958519861104,0.0000410402849083,1,0.0000410402849083,24366.30257885691
A2B,4,22,35,1.850375072914176,0.000061321226065,2,0.0000306606130325,32615.13391592139
A2B,4,22,35,1.8585960399359465,0.0000609016020316,4,0.0000152254005079,65679.71722517873
A2B,4,22,35,1.8565939739346504,0.0000611621630378,8,7.645270379725843e-6,130799.8213708512
A2B,4,22,35,1.8590636720182372,0.0000614187329774,16,3.838670811092015e-6,260506.8392711493
A2B,4,22,35,1.859593695960939,0.0000614754329435,32,1.921107279486023e-6,520533.1376744053
A2B,4,22,35,1.8664453929523008,0.00006024767505,64,9.413699226570317e-7,1062281.6556295787
A2B,4,22,35,1.8920619409764183,0.0000603236859897,128,4.712787967946497e-7,2121886.2524717613
A2B,4,22,35,1.8784074150025845,0.000060084905941,256,2.347066638321849e-7,4260637.442808183
A2B,4,22,35,1.8790471530519424,0.0000613263730192,512,1.197780723032338e-7,8348773.534010213
A2B,4,22,35,1.8686498960014437,0.0000628326990408,1024,6.136005765711161e-8,16297246.74621619
A2B,4,22,35,1.8861143329413608,0.0001049003449734,2048,5.122087156905763e-8,19523291.37257588
A2B,4,22,35,1.8922095309244469,0.0001486720259999,4096,3.629688134765274e-8,27550576.32698431
A2B,4,22,35,1.877237975015305,0.0002139354279497,8192,2.6115164544648907e-8,38291927.982697845
A2B,4,22,35,1.926505611045286,0.0004304565680213,16384,2.6272983888020466e-8,38061911.97247162
A2B,5,34,56,1.9035483750049025,0.0000417927750386,1,0.0000417927750386,23927.58076188248
A2B,5,34,56,1.8539667639415711,0.0000640615179436,2,0.0000320307589718,31219.990786979622
A2B,5,34,56,1.852695801993832,0.0000634758309461,4,0.0000158689577365,63016.110862659785
A2B,5,34,56,1.8662912029540168,0.000064493576996,8,8.061697124503553e-6,124043.36017046549
A2B,5,34,56,1.8654295769520104,0.0000656144879758,16,4.100905498489738e-6,243848.5842622502
A2B,5,34,56,1.863257449003868,0.0000650336979888,32,2.0323030621511864e-6,492052.5971857284
A2B,5,34,56,1.8770634300308304,0.0000639446449931,64,9.991350780182983e-7,1000865.6707193358
A2B,5,34,56,1.8944765710039064,0.0000643229050328,128,5.025226955694962e-7,1989959.8740843448
A2B,5,34,56,1.8754104879917577,0.000064479156048,256,2.5187170331264497e-7,3970275.290347775
A2B,5,34,56,1.8790433120448145,0.0000654350389959,512,1.2780281053892394e-7,7824554.059360358
A2B,5,34,56,1.8766062690410763,0.0000680690739536,1024,6.647370503287677e-8,15043542.39778597
A2B,5,34,56,1.888926385086961,0.0001465279919793,2048,7.154687108368309e-8,13976851.605856726
A2B,5,34,56,1.894025724963285,0.0001986122579546,4096,4.8489320789713024e-8,20623097.69890919
A2B,5,34,56,1.904801547061652,0.0003078201600583,8192,3.757570313212e-8,26612941.78538451
A2B,5,34,56,1.928459158050828,0.0005678885210072,16384,3.4661164612259655e-8,28850732.835627224
A2B,6,50,84,1.8868385419482363,0.0000418559199897,1,0.0000418559199897,23891.482978864515
A2B,6,50,84,1.8838864020071924,0.0000725313160801,2,0.00003626565804,27574.296291417817
A2B,6,50,84,1.8668349540093916,0.0000727672710781,4,0.0000181918177695,54969.76787410126
A2B,6,50,84,1.875675273942761,0.000071617282927,8,8.952160365879535e-6,111704.88006575736
A2B,6,50,84,1.868479453958571,0.0000727324440376,16,4.545777752355207e-6,219984.3578982477
A2B,6,50,84,1.8716139210155236,0.0000722996919648,32,2.259365373902256e-6,442602.1623376715
A2B,6,50,84,1.876658523106016,0.0000709815450245,64,1.1090866410086165e-6,901642.8140281162
A2B,6,50,84,1.8818814338883385,0.0000717215179465,128,5.603243589575869e-7,1784680.5765510078
A2B,6,50,84,1.874121661996469,0.0000720047380309,256,2.812685079334188e-7,3555321.594114325
A2B,6,50,84,1.877187395002693,0.0000738683929666,512,1.442742050130619e-7,6931245.9556402685
A2B,6,50,84,1.8736535569187251,0.0000773817989975,1024,7.5568163083517e-8,13233085.98747878
A2B,6,50,84,1.8956145870033647,0.0001613936020294,2048,7.880546974092795e-8,12689474.516013777
A2B,6,50,84,1.8858723909361288,0.0002577135900501,4096,6.291835694582915e-8,15893612.747404872
A2B,6,50,84,1.8852735189720988,0.0004117699570488,8192,5.026488733506086e-8,19894603.43030508
A2B,6,50,84,1.9200471830554309,0.0007449822640046,16384,4.5470108887002425e-8,21992469.87697117
A2B,7,70,120,1.8938979470403865,0.0000422653780551,1,0.0000422653780551,23660.027332414924
A2B,7,70,120,1.8667961480095985,0.0000801243860041,2,0.000040062193002,24961.189716896617
A2B,7,70,120,1.8612747729057448,0.0000801269710063,4,0.0000200317427515,49920.76887170533
A2B,7,70,120,1.869848937029019,0.0000797502679051,8,9.968783488147892e-6,100313.14264061632
A2B,7,70,120,1.8628094979794696,0.0000802621800685,16,5.016386254283134e-6,199346.69088652643
A2B,7,70,120,1.882741532986984,0.0000803553890436,32,2.511105907615274e-6,398230.91370513785
