system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A2B,3,13,20,1.927482736762613,0.0000409173215739,1,0.0000409173215739,24439.52735745106
A2B,3,13,20,1.9015264101326463,0.0000567546738311,2,0.0000283773369155,35239.388494234816
A2B,3,13,20,1.899155457969755,0.0000562340370379,4,0.0000140585092594,71131.29717685681
A2B,3,13,20,1.9174945931881664,0.0000570271718315,8,7.128396478947252e-6,140284.00397668168
A2B,3,13,20,1.9159675757400687,0.000056681193877,16,3.5425746173132213e-6,282280.5750125386
A2B,3,13,20,1.9274263121187687,0.0000575315798632,32,1.7978618707275015e-6,556216.2568114044
A2B,3,13,20,1.9261141116730869,0.0000569045697338,64,8.891339020919986e-7,1124689.9906157556
A2B,3,13,20,1.9304724130779505,0.0000566058014519,128,4.422328238433693e-7,2261252.3224964906
A2B,3,13,20,1.9180522128008304,0.0000568492249585,256,2.2206728499440945e-7,4503139.667894688
A2B,3,13,20,1.928673701826483,0.0000569315720349,512,1.1119447663077153e-7,8993252.455520473
A2B,3,13,20,1.9195780181325968,0.0000589562370441,1024,5.75744502384623e-8,17368815.435634945
A2B,3,13,20,1.9534134352579715,0.0000625745267607,2048,3.0553968144886316e-8,32728973.050505903
A2B,3,13,20,1.93816193100065,0.0001085586580447,4096,2.650357862421515e-8,37730753.80418039
A2B,3,13,20,1.9261794262565672,0.000156726791989,8192,1.913168847522684e-8,52269301.8598372
A2B,3,13,20,1.973696131259203,0.0003301474959589,16384,2.0150604001401008e-8,49626304.00212684
A2B,4,22,35,1.9528511301614344,0.0000406399620696,1,0.0000406399620696,24606.32217828304
A2B,4,22,35,1.9194091400131583,0.0000611804518848,2,0.0000305902259424,32690.1802517536
A2B,4,22,35,1.924395414069295,0.0000603187973611,4,0.0000150796993402,66314.31949900332
A2B,4,22,35,1.9215482287108896,0.0000613096971064,8,7.663712138310074e-6,130485.06806526662
A2B,4,22,35,1.9398081358522177,0.0000616758759133,16,3.854742244584486e-6,259420.71779375043
A2B,4,22,35,1.9253382608294487,0.0000611150641925,32,1.909845756017603e-6,523602.49347318657
A2B,4,22,35,1.9395814500749111,0.0000603539082221,64,9.430298159713856e-7,1060411.8587384548
A2B,4,22,35,1.9283049958758056,0.0000604646638967,128,4.7238018669304446e-7,2116938.9152424512
A2B,4,22,35,1.923029349651188,0.0000603718128986,256,2.358273941354128e-7,4240389.474964038
A2B,4,22,35,1.938229901250452,0.0000615118779242,512,1.201403865707107e-7,8323595.657913359
A2B,4,22,35,1.932210994884372,0.0000631708903238,1024,6.169032258185325e-8,16209997.908069924
A2B,4,22,35,1.957299292087555,0.0001048924378119,2048,5.1217010650361775e-8,19524763.107058387
A2B,4,22,35,1.952888353727758,0.0001485462416894,4096,3.6266172287469096e-8,27573905.293157343
A2B,4,22,35,1.958745513111353,0.0002187546538189,8192,2.6703448952503096e-8,37448346.15853108
A2B,4,22,35,1.9748178320005536,0.000428442264907,16384,2.6150040582706425e-8,38240858.43527605
A2B,5,34,56,1.968295476399362,0.0000409392099827,1,0.0000409392099827,24426.46060882191
A2B,5,34,56,1.9193791029974816,0.0000631219311617,2,0.0000315609655808,31684.70867717252
A2B,5,34,56,1.921355230268091,0.0000638949652202,4,0.000015973741305,62602.74164344875
A2B,5,34,56,1.93790883012116,0.0000649431170895,8,8.117889636196196e-6,123184.7247024869
A2B,5,34,56,1.9156216601841152,0.0000653688209131,16,4.085551307071e-6,244765.0084015018
A2B,5,34,56,1.9207156621851027,0.0000658270916901,32,2.0570966153172777e-6,486122.0384856665
A2B,5,34,56,1.927006812300533,0.0000642131459899,64,1.003330406092573e-6,996680.6486952356
A2B,5,34,56,1.9465086380951109,0.000064082859084,128,5.006473365938291e-7,1997414.0016474144
A2B,5,34,56,1.9297706498764453,0.0000647844667546,256,2.530643232603325e-7,3951564.5157586257
A2B,5,34,56,1.9384099217131732,0.000066066739615,512,1.2903660081065026e-7,7749739.1725888
A2B,5,34,56,1.939931817818433,0.0000676403231918,1024,6.605500311707147e-8,15138898.687623508
A2B,5,34,56,1.9554081219248476,0.0001465226928703,2048,7.154428362809996e-8,13977357.0897457
