system,order,init,run,is_sim,model_file
MOL_1_1_1,3,0.00694323,0.00001718,false,MOL_1_1_1_3.onnx
MOL_1_1_1,3,0.00403976,0.00001686,true,MOL_1_1_1_3.sim.onnx
MOL_1_1_1,4,0.0070233,0.00001718,false,MOL_1_1_1_4.onnx
MOL_1_1_1,4,0.00424524,0.00001671,true,MOL_1_1_1_4.sim.onnx
MOL_1_1_1,5,0.00709102,0.00001764,false,MOL_1_1_1_5.onnx
MOL_1_1_1,5,0.00412312,0.00001717,true,MOL_1_1_1_5.sim.onnx
MOL_1_1_1,6,0.00702322,0.00001822,false,MOL_1_1_1_6.onnx
MOL_1_1_1,6,0.00419242,0.00001736,true,MOL_1_1_1_6.sim.onnx
MOL_1_1_1,7,0.00711558,0.00001865,false,MOL_1_1_1_7.onnx
MOL_1_1_1,7,0.00413478,0.00001779,true,MOL_1_1_1_7.sim.onnx
MOL_1_1_1,8,0.00711472,0.00001936,false,MOL_1_1_1_8.onnx
MOL_1_1_1,8,0.00430114,0.00001877,true,MOL_1_1_1_8.sim.onnx
MOL_1_1_1_1,3,0.00700688,0.00001841,false,MOL_1_1_1_1_3.onnx
MOL_1_1_1_1,3,0.00431211,0.00001711,true,MOL_1_1_1_1_3.sim.onnx
MOL_1_1_1_1,4,0.0070967,0.00002043,false,MOL_1_1_1_1_4.onnx
MOL_1_1_1_1,4,0.00418917,0.00001949,true,MOL_1_1_1_1_4.sim.onnx
MOL_1_1_1_1,5,0.00715727,0.00002419,false,MOL_1_1_1_1_5.onnx
MOL_1_1_1_1,5,0.00420322,0.00002339,true,MOL_1_1_1_1_5.sim.onnx
MOL_1_1_1_1,6,0.00729759,0.00003148,false,MOL_1_1_1_1_6.onnx
MOL_1_1_1_1,6,0.00431533,0.00003076,true,MOL_1_1_1_1_6.sim.onnx
MOL_1_1_1_1,7,0.00762403,0.00004422,false,MOL_1_1_1_1_7.onnx
MOL_1_1_1_1,7,0.00456273,0.00004409,true,MOL_1_1_1_1_7.sim.onnx
MOL_1_1_1_1,8,0.0081589,0.00006643,false,MOL_1_1_1_1_8.onnx
MOL_1_1_1_1,8,0.00482769,0.00006578,true,MOL_1_1_1_1_8.sim.onnx
MOL_1_1_1_1_1,3,0.00707004,0.00002214,false,MOL_1_1_1_1_1_3.onnx
MOL_1_1_1_1_1,3,0.00425054,0.00002149,true,MOL_1_1_1_1_1_3.sim.onnx
MOL_1_1_1_1_1,4,0.00752111,0.00003528,false,MOL_1_1_1_1_1_4.onnx
MOL_1_1_1_1_1,4,0.00448545,0.0000344,true,MOL_1_1_1_1_1_4.sim.onnx
MOL_1_1_1_1_1,5,0.00852084,0.00007376,false,MOL_1_1_1_1_1_5.onnx
MOL_1_1_1_1_1,5,0.00522879,0.00007042,true,MOL_1_1_1_1_1_5.sim.onnx
MOL_1_1_1_1_1,6,0.01098859,0.00016999,false,MOL_1_1_1_1_1_6.onnx
MOL_1_1_1_1_1,6,0.00650207,0.00016485,true,MOL_1_1_1_1_1_6.sim.onnx
MOL_1_1_1_1_1,7,0.01481537,0.0003776,false,MOL_1_1_1_1_1_7.onnx
MOL_1_1_1_1_1,7,0.00954331,0.00037334,true,MOL_1_1_1_1_1_7.sim.onnx
MOL_1_1_1_1_1,8,0.02119559,0.00081716,false,MOL_1_1_1_1_1_8.onnx
MOL_1_1_1_1_1,8,0.01235951,0.00081682,true,MOL_1_1_1_1_1_8.sim.onnx
MOL_2_1,3,0.00691184,0.00001697,false,MOL_2_1_3.onnx
MOL_2_1,3,0.00416815,0.0000163,true,MOL_2_1_3.sim.onnx
MOL_2_1,4,0.00694959,0.00001725,false,MOL_2_1_4.onnx
MOL_2_1,4,0.00406575,0.0000162,true,MOL_2_1_4.sim.onnx
MOL_2_1,5,0.00673171,0.00001748,false,MOL_2_1_5.onnx
MOL_2_1,5,0.00413849,0.00001649,true,MOL_2_1_5.sim.onnx
MOL_2_1,6,0.0069326,0.00001809,false,MOL_2_1_6.onnx
MOL_2_1,6,0.00403848,0.00001754,true,MOL_2_1_6.sim.onnx
MOL_2_1,7,0.00701162,0.00001894,false,MOL_2_1_7.onnx
MOL_2_1,7,0.0041125,0.00001756,true,MOL_2_1_7.sim.onnx
MOL_2_1,8,0.00709311,0.00001933,false,MOL_2_1_8.onnx
MOL_2_1,8,0.004249,0.00001892,true,MOL_2_1_8.sim.onnx
MOL_2_1_1,3,0.00693548,0.00001833,false,MOL_2_1_1_3.onnx
MOL_2_1_1,3,0.00425188,0.00001758,true,MOL_2_1_1_3.sim.onnx
MOL_2_1_1,4,0.0070386,0.00002004,false,MOL_2_1_1_4.onnx
MOL_2_1_1,4,0.00423666,0.00001929,true,MOL_2_1_1_4.sim.onnx
MOL_2_1_1,5,0.00702783,0.00002386,false,MOL_2_1_1_5.onnx
MOL_2_1_1,5,0.00443979,0.00002313,true,MOL_2_1_1_5.sim.onnx
MOL_2_1_1,6,0.00709235,0.00003068,false,MOL_2_1_1_6.onnx
MOL_2_1_1,6,0.00441905,0.00002997,true,MOL_2_1_1_6.sim.onnx
MOL_2_1_1,7,0.0074814,0.00004241,false,MOL_2_1_1_7.onnx
MOL_2_1_1,7,0.00451044,0.00004168,true,MOL_2_1_1_7.sim.onnx
MOL_2_1_1,8,0.00795903,0.00006219,false,MOL_2_1_1_8.onnx
MOL_2_1_1,8,0.00490333,0.00005997,true,MOL_2_1_1_8.sim.onnx
MOL_2_1_1_1,3,0.00711088,0.00002203,false,MOL_2_1_1_1_3.onnx
MOL_2_1_1_1,3,0.00433591,0.00002127,true,MOL_2_1_1_1_3.sim.onnx
MOL_2_1_1_1,4,0.00756558,0.00003432,false,MOL_2_1_1_1_4.onnx
MOL_2_1_1_1,4,0.0045438,0.00003331,true,MOL_2_1_1_1_4.sim.onnx
MOL_2_1_1_1,5,0.00859076,0.00006966,false,MOL_2_1_1_1_5.onnx
MOL_2_1_1_1,5,0.00518484,0.00006728,true,MOL_2_1_1_1_5.sim.onnx
