system,order,init,run,is_sim,model_file
MOL_3_2_1,4,0.01225235,0.00009483,false,MOL_3_2_1_4.onnx
MOL_3_2_1,4,0.00498035,0.00009072,true,MOL_3_2_1_4.sim.onnx
MOL_3_2_1,5,0.01576146,0.00031451,false,MOL_3_2_1_5.onnx
MOL_3_2_1,5,0.00639653,0.00031327,true,MOL_3_2_1_5.sim.onnx
MOL_3_2_1,6,0.02660513,0.00104149,false,MOL_3_2_1_6.onnx
MOL_3_2_1,6,0.0088374,0.00103382,true,MOL_3_2_1_6.sim.onnx
MOL_3_2_1,7,0.06166175,0.00395913,false,MOL_3_2_1_7.onnx
MOL_3_2_1,7,0.01588229,0.0033626,true,MOL_3_2_1_7.sim.onnx
MOL_4_1_1,4,0.01003512,0.00009439,false,MOL_4_1_1_4.onnx
MOL_4_1_1,4,0.00481368,0.00009122,true,MOL_4_1_1_4.sim.onnx
MOL_4_1_1,5,0.01569057,0.00031644,false,MOL_4_1_1_5.onnx
MOL_4_1_1,5,0.00641842,0.00031453,true,MOL_4_1_1_5.sim.onnx
MOL_4_1_1,6,0.02642445,0.00104968,false,MOL_4_1_1_6.onnx
MOL_4_1_1,6,0.00867594,0.00104393,true,MOL_4_1_1_6.sim.onnx
MOL_4_1_1,7,0.06193104,0.00400017,false,MOL_4_1_1_7.onnx
MOL_4_1_1,7,0.01487792,0.00334653,true,MOL_4_1_1_7.sim.onnx
MOL_4_1_1_1,4,0.01625062,0.00031709,false,MOL_4_1_1_1_4.onnx
MOL_4_1_1_1,4,0.0067251,0.00031421,true,MOL_4_1_1_1_4.sim.onnx
MOL_4_1_1_1,5,0.03660029,0.00156233,false,MOL_4_1_1_1_5.onnx
MOL_4_1_1_1,5,0.01033631,0.00154497,true,MOL_4_1_1_1_5.sim.onnx
MOL_4_1_1_1,6,0.13048705,0.00860635,false,MOL_4_1_1_1_6.onnx
MOL_4_1_1_1,6,0.02809768,0.0085699,true,MOL_4_1_1_1_6.sim.onnx
MOL_4_1_1_1,7,0.25456918,0.01700456,false,MOL_4_1_1_1_7.onnx
MOL_4_1_1_1,7,0.0506379,0.01695199,true,MOL_4_1_1_1_7.sim.onnx
MOL_4_2,4,0.0098878,0.00009478,false,MOL_4_2_4.onnx
MOL_4_2,4,0.00502033,0.00009094,true,MOL_4_2_4.sim.onnx
MOL_4_2,5,0.01568155,0.00032003,false,MOL_4_2_5.onnx
MOL_4_2,5,0.00646493,0.00031761,true,MOL_4_2_5.sim.onnx
MOL_4_2,6,0.02659478,0.00106205,false,MOL_4_2_6.onnx
MOL_4_2,6,0.0086528,0.00105727,true,MOL_4_2_6.sim.onnx
MOL_4_2,7,0.06153893,0.00403151,false,MOL_4_2_7.onnx
MOL_4_2,7,0.01540029,0.00343119,true,MOL_4_2_7.sim.onnx
MOL_5_1_1,4,0.01169091,0.00032179,false,MOL_5_1_1_4.onnx
MOL_5_1_1,4,0.01021224,0.00031863,true,MOL_5_1_1_4.sim.onnx
MOL_5_1_1,5,0.01912933,0.00160012,false,MOL_5_1_1_5.onnx
MOL_5_1_1,5,0.02056305,0.00156729,true,MOL_5_1_1_5.sim.onnx
MOL_5_1_1,6,0.05209312,0.008733,false,MOL_5_1_1_6.onnx
MOL_5_1_1,6,0.06841092,0.00866843,true,MOL_5_1_1_6.sim.onnx
MOL_5_1_1,7,0.20940922,0.03561358,false,MOL_5_1_1_7.onnx
MOL_5_1_1,7,0.2630034,0.03574427,true,MOL_5_1_1_7.sim.onnx
MOL_5_2_1,4,0.03040107,0.00098309,false,MOL_5_2_1_4.onnx
MOL_5_2_1,4,0.00934056,0.00097707,true,MOL_5_2_1_4.sim.onnx
MOL_5_2_1,5,0.14673085,0.0095332,false,MOL_5_2_1_5.onnx
MOL_5_2_1,5,0.03361591,0.00932766,true,MOL_5_2_1_5.sim.onnx
MOL_5_2_1,6,0.66087832,0.05532302,false,MOL_5_2_1_6.onnx
MOL_5_2_1,6,0.16394243,0.05544837,true,MOL_5_2_1_6.sim.onnx
MOL_5_2_1,7,0.14051642,0.29540168,false,MOL_5_2_1_7.onnx
MOL_6_2_1,4,0.03023238,0.0048833,false,MOL_6_2_1_4.onnx
MOL_6_2_1,4,0.03745243,0.00312158,true,MOL_6_2_1_4.sim.onnx
MOL_6_2_1,5,0.2646466,0.04169078,false,MOL_6_2_1_5.onnx
MOL_6_2_1,5,0.30306165,0.041645,true,MOL_6_2_1_5.sim.onnx
MOL_6_2_1,6,0.08406123,0.32440214,false,MOL_6_2_1_6.onnx
