mol,pip,mono,poly degree,bs,time wup,time val and grad
A3,7,8,3,1,0.6447298224084079,0.0002812412567436
A3,11,8,4,1,0.6556481341831386,0.0004264111630618
A3,16,8,5,1,0.6924329590983689,0.000277582090348
A3,23,8,6,1,0.781408947892487,0.0003945771604776
A3,31,8,7,1,0.8655600533820689,0.0003291764296591
A3,41,8,8,1,0.9721326772123576,0.0003325827419757
A2B,13,5,3,1,0.5734528629109263,0.0002718451432883
A2B,22,5,4,1,0.646956286393106,0.0002789609134197
A2B,34,5,5,1,0.7499262560158968,0.0002936869859695
A2B,50,5,6,1,0.8755037663504481,0.0003266269341111
A2B,70,5,7,1,1.0478133969008925,0.0003289869055151
A2B,95,5,8,1,1.2606436489149928,0.0003396323882043
ABC,20,4,3,1,0.587641691789031,0.0002778726629912
ABC,35,4,4,1,0.7075384221971035,0.0002927179448306
ABC,56,4,5,1,0.8713072980754077,0.0002885991707444
ABC,84,4,6,1,1.093178047798574,0.0003380184061825
ABC,120,4,7,1,1.4122566869482398,0.0003659608773887
ABC,165,4,8,1,1.8102639527060087,0.0003430773504078
A4,11,42,3,1,1.4160069222562015,0.0003339131362736
A4,22,57,4,1,1.962982790078968,0.0003623208031058
A4,40,63,5,1,2.6267526573501527,0.0004935129545629
A4,72,88,6,1,4.252287383191288,0.0004626759327948
A4,120,112,7,1,7.091699379030615,0.0005331439897418
A4,195,112,8,1,11.419899601023644,0.0009096902795135
A3B,23,30,3,1,1.220999435056001,0.0003456659615039
A3B,51,33,4,1,1.637551170308143,0.0003452417440712
A3B,103,33,5,1,2.3632671209052205,0.0003416649997234
A3B,196,33,6,1,3.949564214795828,0.0003654658794403
A3B,348,33,7,1,7.224231138825417,0.0004280391149222
A3B,590,33,8,1,14.370091837830842,0.000490847043693
A2B2,33,17,3,1,1.0276862597092986,0.0003263549879193
A2B2,75,18,4,1,1.4340498237870634,0.0003260849043726
A2B2,153,18,5,1,2.20812314376235,0.0003320560790598
A2B2,291,18,6,1,3.772090800106525,0.0003573638387024
A2B2,519,18,7,1,6.899962769821286,0.0004064319655299
A2B2,882,18,8,1,13.812634804751724,0.0004688561893999
A2BC,50,11,3,1,1.015419026836753,0.0003405539318919
A2BC,120,11,4,1,1.6202293462119997,0.0003224480897188
A2BC,256,11,5,1,2.937282219994813,0.0003408091142773
A2BC,502,11,6,1,5.814919284079224,0.0003817798569798
A2BC,918,11,7,1,12.50718683283776,0.0004410799592733
A2BC,1589,11,8,1,29.211893545929343,0.0004798918962478
ABCD,84,7,3,1,1.1608219016343355,0.0003472091630101
ABCD,210,7,4,1,2.211001485120505,0.0003412696532905
ABCD,462,7,5,1,4.755895068868995,0.0003843549638986
ABCD,924,7,6,1,11.285482805687934,0.0004492113366723
ABCD,1716,7,7,1,29.74566693464294,0.0005072229541838
ABCD,3003,7,8,1,96.49498955905436,0.0007965671829879
A5,12,176,3,1,4.58734300499782,0.0005733002908527
A5,29,416,4,1,11.895133233163506,0.0009684730321168
A5,64,978,5,1,33.89452148927376,0.0019646962173283
A5,140,2368,6,1,119.53647951502352,0.0046326592564582
A5,289,5308,7,1,539.623924584128,0.0122340330854058
A5,580,10158,8,1,4153.698065794073,0.0557226710952818
A4B,30,134,3,1,4.96881777793169,0.000635755714029
A4B,83,262,4,1,11.117644113954157,0.0011047641746699
A4B,208,496,5,1,27.026229326147583,0.0022884900681674
A4B,495,807,6,1,72.80407384596765,0.003805638756603
A4B,1101,1293,7,1,251.3994323839433,0.0073580238968133
A4B,2327,1953,8,1,896.2033174149692,0.016539127100259
A3B2,48,95,3,1,3.795054831076413,0.0006191683933138
A3B2,139,170,4,1,8.376899003982544,0.0008732471615076
A3B2,364,254,5,1,19.358165294863284,0.0014072791673243
A3B2,889,390,6,1,59.484675897751,0.0027542728930711
A3B2,2022,576,7,1,189.6037835939788,0.0051602143794298
A3B2,4343,876,8,1,996.4309857902116,0.0099889677949249
A3BC,75,68,3,1,3.377749046776444,0.0005583902820944
A3BC,231,110,4,1,7.364919953048229,0.0007632179185748
A3BC,636,140,5,1,19.03335659019649,0.0011536222882568
A3BC,1603,161,6,1,62.34693436697125,0.001811149995774
A3BC,3737,173,7,1,350.0294555108994,0.0070189186371862
A3BC,8163,185,8,1,2888.5343529637903,0.0066103963181376
A2B2C,102,39,3,1,2.718088072258979,0.0004991320893168
A2B2C,323,52,4,1,6.32440779497847,0.0006973939016461
A2B2C,904,64,5,1,18.85099182697013,0.000909102614969
A2B2C,2304,72,6,1,70.93610964203253,0.0014900919049978
A2B2C,5416,72,7,1,598.8138287933543,0.0025894092395901
A2B2C,11910,72,8,1,5869.132945331745,0.0045706029050052
A2BCD,168,22,3,1,2.804241231177002,0.0005007218569517
A2BCD,561,22,4,1,8.189285452011973,0.0006694803014397
A2BCD,1632,22,5,1,31.557706248015165,0.001043050084263
A2BCD,4264,22,6,1,230.3261542590335,0.001641565002501
A2BCD,10208,22,7,1,3020.3415146670304,0.0026660501025617
A2BCD,22734,22,8,1,33196.94711422315,0.0052053099498152
ABCDE,286,11,3,1,3.7620685370638967,0.0005355710163712
ABCDE,1001,11,4,1,14.314296305179596,0.0006721499375998
ABCDE,3003,11,5,1,80.6178910061717,0.0010767299681901
ABCDE,8008,11,6,1,1309.6029761638492,0.0019639050588011
ABCDE,19448,11,7,1,18560.75115133403,0.02170491637662053
