mol,pip,mono,poly degree,bs,time wup,time val and grad
A3,7,8,3,1,0.3498737225309014,0.0002002492547035
A3,11,8,4,1,0.3391944030299783,0.000204506330192
A3,16,8,5,1,0.3659227751195431,0.0001994399353861
A3,23,8,6,1,0.4048525784164667,0.0002307360991835
A3,31,8,7,1,0.4531154921278357,0.0002290429547429
A3,41,8,8,1,0.5026559308171272,0.000231928192079
A2B,13,5,3,1,0.3021021755412221,0.0001944322139024
A2B,22,5,4,1,0.341469295322895,0.0001994287595152
A2B,34,5,5,1,0.3885429846122861,0.000198196619749
A2B,50,5,6,1,0.4524339800700545,0.0002232650294899
A2B,70,5,7,1,0.5345045831054449,0.0002379976212978
A2B,95,5,8,1,0.6469658119603992,0.0002377368509769
ABC,20,4,3,1,0.3079335624352097,0.0001924782991409
ABC,35,4,4,1,0.3639032049104571,0.0002052783966064
ABC,56,4,5,1,0.4467820608988404,0.0002078209072351
ABC,84,4,6,1,0.5567524945363402,0.0004135305061936
ABC,120,4,7,1,0.7026252197101712,0.0002482822164893
ABC,165,4,8,1,0.9041169220581652,0.0002666488289833
A4,11,42,3,1,0.7493686638772488,0.0002694837749004
A4,22,57,4,1,1.0447753854095936,0.000257265754044
A4,40,63,5,1,1.40300224814564,0.0002577770501375
A4,72,88,6,1,2.34107933845371,0.0003529703244566
A4,120,112,7,1,4.053578573279083,0.0004232740029692
A4,195,112,8,1,6.6638902351260185,0.0004928493872284
A3B,23,30,3,1,0.6375113017857075,0.0002635046839714
A3B,51,33,4,1,0.8492452865466475,0.0002568857744336
A3B,103,33,5,1,1.22305213753134,0.0002413624897599
A3B,196,33,6,1,2.0768490098416805,0.0002858387306332
A3B,348,33,7,1,3.868191569112241,0.0003440752625465
A3B,590,33,8,1,7.839426599442959,0.0004230448976159
A2B2,33,17,3,1,0.5365602960810065,0.0002461289986968
A2B2,75,18,4,1,0.7378079323098063,0.0002564946189522
A2B2,153,18,5,1,1.1208358043804765,0.0002399897202849
A2B2,291,18,6,1,1.923468022607267,0.0002725590020418
A2B2,519,18,7,1,3.575227299705148,0.0003310460597276
A2B2,882,18,8,1,7.33536047488451,0.0003804108127951
A2BC,50,11,3,1,0.527580407448113,0.0002479618415236
A2BC,120,11,4,1,0.826121942140162,0.0002538599073886
A2BC,256,11,5,1,1.478765070438385,0.0002528987824916
A2BC,502,11,6,1,2.9403121238574386,0.0003111362457275
A2BC,918,11,7,1,6.502298732288182,0.0003663394600152
A2BC,1589,11,8,1,15.43746333103627,0.0004437863826751
ABCD,84,7,3,1,0.5945342564955354,0.0002680821344256
ABCD,210,7,4,1,1.1216399325057864,0.0002518268302083
ABCD,462,7,5,1,2.4067585971206427,0.0003021424636244
ABCD,924,7,6,1,5.763165471144021,0.0003656279295682
ABCD,1716,7,7,1,15.665284035727382,0.0004026740789413
ABCD,3003,7,8,1,51.786333178170025,0.0005354722961783
A5,12,176,3,1,2.6194070940837264,0.0004278123378753
A5,29,416,4,1,7.043310006149113,0.0007407609373331
A5,64,978,5,1,20.682221033610404,0.0014951014891266
A5,140,2368,6,1,76.24914084654301,0.0039600096642971
A5,289,5308,7,1,337.1477468954399,0.0096811819821596
A5,580,10158,8,1,1783.816445835866,0.0262963743880391
A4B,30,134,3,1,2.618063548579812,0.0003760633990168
A4B,83,262,4,1,5.6913197338581085,0.000614701770246
A4B,208,496,5,1,13.933007406070828,0.0011245664209127
A4B,495,807,6,1,37.64086541812867,0.0019597699865698
A4B,1101,1293,7,1,122.18554189428689,0.003611497581005
A4B,2327,1953,8,1,431.17561388667673,0.0076007107272744
A3B2,48,95,3,1,1.9480210021138191,0.0003847666084766
A3B2,139,170,4,1,4.261497507803142,0.0004904856905341
A3B2,364,254,5,1,9.758170306682588,0.0007635746151208
A3B2,889,390,6,1,29.72083477396518,0.0013203406706452
A3B2,2022,576,7,1,91.90679653920232,0.0024063000455498
A3B2,4343,876,8,1,402.4384973859415,0.0042391093447804
A3BC,75,68,3,1,1.7206698106601834,0.0003530997782945
A3BC,231,110,4,1,3.725998672656715,0.0004738913848996
A3BC,636,140,5,1,9.462236553430555,0.000650935806334
A3BC,1603,161,6,1,30.651187910698354,0.0009158020839095
A3BC,3737,173,7,1,150.25331654027104,0.0015769954770803
A3BC,8163,185,8,1,898.742085011676,0.0027479818090796
A2B2C,102,39,3,1,1.3494467763230205,0.0003414126113057
A2B2C,323,52,4,1,3.1684341514483094,0.0004574060440063
A2B2C,904,64,5,1,9.232635327614844,0.0005425941199064
A2B2C,2304,72,6,1,34.29129569977522,0.0009360844269394
A2B2C,5416,72,7,1,199.21153513807803,0.0012452080845832
A2B2C,11910,72,8,1,1358.06541768834,0.0019186781719326
A2BCD,168,22,3,1,1.3835011469200251,0.0003381371498107
A2BCD,561,22,4,1,3.975389532744885,0.0004279520362615
A2BCD,1632,22,5,1,15.263951848261058,0.000503335148096
A2BCD,4264,22,6,1,91.48915916401891,0.0008975565433502
A2BCD,10208,22,7,1,753.6253971531987,0.0012621125206351
A2BCD,22734,22,8,1,6162.650805315934,0.0020444961264729
ABCDE,286,11,3,1,1.7777444524690509,0.0003641163930296
ABCDE,1001,11,4,1,6.65437176823616,0.0004334095865488
ABCDE,3003,11,5,1,37.40913502778858,0.0005618324503302
ABCDE,8008,11,6,1,363.2832216313109,0.0009931903332471
ABCDE,19448,11,7,1,3599.754714335315,0.001598878763616085
