mol,pip,mono,poly degree,bs,time wup,time val and grad
A3,7,8,3,1,0.1917923986911773,0.0001260279677808
A3,11,8,4,1,0.2085677129216492,0.0001205117441713
A3,16,8,5,1,0.220307326875627,0.0001386902295053
A3,23,8,6,1,0.2398328371345996,0.0002072029747068
A3,31,8,7,1,0.2533314172178507,0.0002033710479736
A2B,13,5,3,1,0.1809197450056672,0.0001222537830471
A2B,22,5,4,1,0.1751244938932359,0.000127064064145
A2B,34,5,5,1,0.2215363080613315,0.0001576077193021
A2B,50,5,6,1,0.2727545201778412,0.0002461029216647
A2B,70,5,7,1,0.3366710878908634,0.0002756160683929
ABC,20,4,3,1,0.1750639118254184,0.000140022020787
ABC,35,4,4,1,0.1913680261932313,0.0001487918198108
ABC,56,4,5,1,0.2836528993211686,0.0001311800442636
ABC,84,4,6,1,0.3417230108752846,0.0002210792154073
ABC,120,4,7,1,0.4529577293433249,0.0002019987441599
A4,11,42,3,1,0.4400774547830224,0.0002990402281284
A4,22,57,4,1,0.5655038352124393,0.0002153241075575
A4,40,63,5,1,0.8323327950201929,0.0003194091841578
A4,72,88,6,1,1.31774707371369,0.000347969122231
A4,120,112,7,1,2.293721411842853,0.0002730078995227
A3B,23,30,3,1,0.3896704129874706,0.0001358701847493
A3B,51,33,4,1,0.5220683868974447,0.0001681186258792
A3B,103,33,5,1,0.7658680002205074,0.0001969980075955
A3B,196,33,6,1,1.214169220067561,0.0002857688814401
A3B,348,33,7,1,2.204476810991764,0.0002596797421574
A2B2,33,17,3,1,0.2967221713624894,0.0001982212997972
A2B2,75,18,4,1,0.4062045179307461,0.0001581390388309
A2B2,153,18,5,1,0.7040390972979367,0.0002149329520761
A2B2,291,18,6,1,1.2041258858516812,0.0001980317756533
A2B2,519,18,7,1,2.332821540068835,0.0003317641094326
A2BC,50,11,3,1,0.3167817387729883,0.0001573278568685
A2BC,120,11,4,1,0.5150033487007022,0.000149211846292
A2BC,256,11,5,1,0.8728474569506943,0.0001253923401236
A2BC,502,11,6,1,1.7745865392498672,0.0003802301362156
A2BC,918,11,7,1,3.9392379950731993,0.0003268239088356
ABCD,84,7,3,1,0.3487082198262214,0.0002246587537229
ABCD,210,7,4,1,0.704771292861551,0.0001378511078655
ABCD,462,7,5,1,1.5116124958731234,0.0001471699215471
ABCD,924,7,6,1,3.496954438276589,0.0003359150141477
ABCD,1716,7,7,1,9.572843643371016,0.0003033690154552
A5,12,176,3,1,1.470995981246233,0.0003857887350022
A5,29,416,4,1,3.919867672026157,0.0003773132339119
A5,64,978,5,1,11.503412910271436,0.000992969609797
A5,140,2368,6,1,40.7844750797376,0.0023214891552925
A5,289,5308,7,1,178.31533033726737,0.0037900879979133
A4B,30,134,3,1,1.33014707127586,0.0004557268694043
A4B,83,262,4,1,2.741989341098815,0.0003187209367752
A4B,208,496,5,1,7.398581828922033,0.0006196978501975
A4B,495,807,6,1,19.169397555291653,0.0010032029822468
A4B,1101,1293,7,1,61.52207714598626,0.0019257757812738
A3B2,48,95,3,1,1.0353351840749383,0.0002848929725587
A3B2,139,170,4,1,2.237906327005476,0.0002276678569614
A3B2,364,254,5,1,5.062078827060759,0.0004233703948557
A3B2,889,390,6,1,14.767551105003804,0.0009599882178008
A3B2,2022,576,7,1,48.80008538719267,0.0013305977918207
A3BC,75,68,3,1,0.92204509396106,0.0001735058613121
A3BC,231,110,4,1,2.0195898241363466,0.0003663217648863
A3BC,636,140,5,1,5.196967808995396,0.0006211348809301
A3BC,1603,161,6,1,16.295537156052887,0.0008559860289096
A3BC,3737,173,7,1,90.47823283961044,0.0010719639249145
A2B2C,102,39,3,1,0.7254737503826618,0.0002674423158168
A2B2C,323,52,4,1,1.681578682269901,0.0003947727382183
A2B2C,904,64,5,1,5.183913165703416,0.0003590518608689
A2B2C,2304,72,6,1,19.18069505179301,0.0004185889847576
A2B2C,5416,72,7,1,132.58483060775325,0.0007518250495195
A2BCD,168,22,3,1,0.7863751570694149,0.0001975242048501
A2BCD,561,22,4,1,2.3167777387425303,0.000355782918632
A2BCD,1632,22,5,1,8.41700333636254,0.0004465566016733
A2BCD,4264,22,6,1,60.4151446390897,0.0006263200193643
A2BCD,10208,22,7,1,580.3838469367474,0.0021444377489387
ABCDE,286,11,3,1,1.0589111470617354,0.0001717447303235
ABCDE,1001,11,4,1,4.121534833218902,0.0003746910952031
ABCDE,3003,11,5,1,22.37119571398944,0.0003101648762822
ABCDE,8008,11,6,1,253.50964942900464,0.0050759948790073395
