system,order,num_pips,num_flat_exponents,jit,run
A2B,3,13,20,0.5817779200151563,0.000041119121015
A2B,4,22,35,0.596011211629957,0.0000439078966155
A2B,5,34,56,0.5770287020131946,0.0000639333482831
A2B,6,50,84,0.5872371741570532,0.0000602513225749
A2B,7,70,120,0.5882974145933986,0.0000622276915237
A2B,8,95,165,0.6085995440371335,0.0000629312498494
A2B2,3,33,84,0.6282639680430293,0.0000618335977196
A2B2,4,75,210,0.6529026860371232,0.0000616266904398
A2B2,5,153,462,0.6223623198457062,0.0000666450290009
A2B2,6,291,924,0.622416262049228,0.0000681622000411
A2B2,7,519,1716,0.6291507789865136,0.000074718738906
A2B2,8,882,3003,0.6319333547726274,0.0000845926627516
A2B2C,3,102,286,2.2400034251622856,0.0000645529804751
A2B2C,4,323,1001,0.666090739890933,0.0000706913927569
A2B2C,5,904,3003,0.6787710702046752,0.000089788059704
A2B2C,6,2304,8008,0.6924411556683481,0.0001321237906813
A2B2C,7,5416,19448,0.7480919091030955,0.0002264209184795
A2B2C,8,11910,43758,0.8966312510892749,0.0004032751498743
A2BC,3,50,84,0.6229074378497899,0.0000608536275103
A2BC,4,120,210,0.6491832840256393,0.0000629097083583
A2BC,5,256,462,0.6194057427346706,0.0000652519334107
A2BC,6,502,924,0.6248020217753947,0.0000681510893628
A2BC,7,918,1716,0.6200904198922217,0.0000764835905283
A2BC,8,1589,3003,0.6319662239402533,0.000086186947301
A2BCD,3,168,286,0.667034616228193,0.0000656051607802
A2BCD,4,561,1001,0.6653298670426011,0.0000723275635391
A2BCD,5,1632,3003,0.6788793029263616,0.0000904084788635
A2BCD,6,4264,8008,0.692521627061069,0.0001362978573888
A2BCD,7,10208,19448,0.7448713551275432,0.0002350669912993
A2BCD,8,22734,43758,0.89843675121665,0.0004273686092346
A3,3,7,20,0.5792268109507859,0.0000422058487311
A3,4,11,35,0.5898395590484142,0.0000423868233337
A3,5,16,56,0.5751257771626115,0.0000434661423787
A3,6,23,84,0.5810587001033127,0.0000621180282905
A3,7,31,120,0.5876049352809787,0.0000640909885987
A3,8,41,165,0.608848137781024,0.0000615022983402
A3B,3,23,84,0.6269236160442233,0.0000616240920498
A3B,4,51,210,0.6488480609841645,0.0000626546423882
A3B,5,103,462,0.6279405620880425,0.0000641410704702
A3B,6,196,924,0.6161164357326925,0.0000693179387599
A3B,7,348,1716,0.6182680549100041,0.0000728502357378
A3B,8,590,3003,0.6336859953589737,0.000086841341108
A3B2,3,48,286,0.6634181877598166,0.0000640287995338
A3B2,4,139,1001,0.6617876212112606,0.0000747666088864
A3B2,5,364,3003,0.6787668643519282,0.0000893143424764
A3B2,6,889,8008,0.6871993499808013,0.0001387274079024
A3B2,7,2022,19448,0.7473483332432806,0.000233501153998
A3B2,8,4343,43758,0.8947873138822615,0.0004230662481859
A3BC,3,75,286,0.6650423347018659,0.0000637200288474
A3BC,4,231,1001,0.6589423706755042,0.0000714582484215
A3BC,5,636,3003,0.6829087100923061,0.0000895224511623
A3BC,6,1603,8008,0.701045370195061,0.0001323453290387
A3BC,7,3737,19448,0.7499119499698281,0.0002249147603288
A3BC,8,8163,43758,0.8925461298786104,0.0004037975287064
A4,3,11,84,0.6222421899437904,0.0000627720123156
A4,4,22,210,0.6502354927361012,0.0000633623031899
A4,5,40,462,0.6212470261380076,0.0000643625017255
A4,6,72,924,0.6251456579193473,0.0000699924398213
A4,7,120,1716,0.6189310913905501,0.00007858984638
A4,8,195,3003,0.6281301761046052,0.000086650638841
A4B,3,30,286,0.6642040768638253,0.0000638723606243
A4B,4,83,1001,0.6643330212682486,0.0000713279470801
A4B,5,208,3003,0.6753547629341483,0.0000918291183188
A4B,6,495,8008,0.6944957901723683,0.0001407736679539
A4B,7,1101,19448,0.7486175582744181,0.0002438245434314
A4B,8,2327,43758,0.8960708500817418,0.0004456187039613
A5,3,12,286,0.6702337670139968,0.0000641014100983
A5,4,29,1001,0.6619051368907094,0.0000711258500814
A5,5,64,3003,0.6731162830255926,0.0000935693271458
A5,6,140,8008,0.691649058368057,0.0001481973193585
A5,7,289,19448,0.7402082169428468,0.0002591912029311
A5,8,580,43758,0.8960030879825354,0.0005238340934738
ABC,3,20,20,0.5840631700120866,0.0000431521609425
ABC,4,35,35,0.5939490371383727,0.0000431007938459
ABC,5,56,56,0.5776838650926948,0.0000603286502882
ABC,6,84,84,0.5856701908633113,0.0000617278413847
ABC,7,120,120,0.5892023732885718,0.0000615962501615
ABC,8,165,165,0.6085993042215705,0.0000619832333177
ABCD,3,84,84,0.6282400209456682,0.0000644393172115
ABCD,4,210,210,0.6541442200541496,0.0000657121185213
ABCD,5,462,462,0.6288617639802396,0.0000635219272226
ABCD,6,924,924,0.6186172389425337,0.0000691492808982
ABCD,7,1716,1716,0.6202654931694269,0.0000759900500997
ABCD,8,3003,3003,0.632389749865979,0.000088558406569
ABCDE,3,286,286,0.6653362167999148,0.0000647496804594
ABCDE,4,1001,1001,0.6631871010176837,0.0000712780700996
ABCDE,5,3003,3003,0.6823556399904191,0.000091537181288
ABCDE,6,8008,8008,0.6957743996754289,0.0001406715204939
ABCDE,7,19448,19448,0.7498598527163267,0.0002426890423521
ABCDE,8,43758,43758,0.8618059037253261,0.0004434118792414
