system,order,num_pips,num_flat_exponents,jit,run
A2B,3,13,20,0.9794762777164578,0.000135054201819
A2B,4,22,35,1.0359725882299244,0.0001437883079051
A2B,5,34,56,0.978891311213374,0.0001573560899123
A2B,6,50,84,1.0082381260581317,0.0001585170114412
A2B,7,70,120,1.012437570374459,0.0001578575791791
A2B,8,95,165,1.0679008238948882,0.0001988899195566
A2B2,3,33,84,1.0542072216048837,0.0001573263993486
A2B2,4,75,210,1.136039948090911,0.0001613909006118
A2B2,5,153,462,1.0927114239893854,0.0001661611022427
A2B2,6,291,924,1.115962359122932,0.0001704640407115
A2B2,7,519,1716,1.089102540165186,0.0001620481908321
A2B2,8,882,3003,1.0593353970907629,0.0001955952588468
A2B2C,3,102,286,1.194328626152128,0.0001654821401461
A2B2C,4,323,1001,1.1042703706771135,0.0001701370161026
A2B2C,5,904,3003,1.134680581279099,0.0001995959598571
A2B2C,6,2304,8008,1.2059889258816838,0.0002699886914342
A2B2C,7,5416,19448,1.281677943188697,0.0004243973037227
A2B2C,8,11910,43758,1.6224066480062902,0.00071599713061
A2BC,3,50,84,1.1091121188364923,0.0001597377518191
A2BC,4,120,210,1.135265898890793,0.0001627479912713
A2BC,5,256,462,1.0409732554107904,0.0001646324992179
A2BC,6,502,924,1.0520443827845156,0.0001691321702674
A2BC,7,918,1716,1.0456501157023013,0.0001803983002901
A2BC,8,1589,3003,1.0418886430561545,0.0001736717112362
A2BCD,3,168,286,1.1182157890871167,0.0001614752691239
A2BCD,4,561,1001,1.112971458118409,0.0001781475078314
A2BCD,5,1632,3003,1.1097109680995343,0.000228615310043
A2BCD,6,4264,8008,1.1486667427234352,0.0002751201996579
A2BCD,7,10208,19448,1.309717102907598,0.0004259693715721
A2BCD,8,22734,43758,1.5636961269192398,0.0007612841995432
A3,3,7,20,0.9697925839573144,0.0001317076291888
A3,4,11,35,1.0175861888565123,0.0001359012397006
A3,5,16,56,0.9762000422924756,0.0001357771316543
A3,6,23,84,1.008885039947927,0.0001449357019737
A3,7,31,120,1.011177821084857,0.0001582014653831
A3,8,41,165,1.05627163592726,0.0001586489658802
A3B,3,23,84,1.0458594262599945,0.0001588621828705
A3B,4,51,210,1.1100855222903192,0.0001610681088641
A3B,5,103,462,1.036971569992602,0.0001624451903626
A3B,6,196,924,1.049710412044078,0.000166306910105
A3B,7,348,1716,1.0396813862025738,0.0001795469690114
A3B,8,590,3003,1.0612035770900548,0.0001925152912735
A3B2,3,48,286,1.1393043287098408,0.0001745758298784
A3B2,4,139,1001,1.0941680558025837,0.0001746698329225
A3B2,5,364,3003,1.0820981650613248,0.0001767004281282
A3B2,6,889,8008,1.1552687440998852,0.0002672563213855
A3B2,7,2022,19448,1.2576552447862923,0.0004170029098168
A3B2,8,4343,43758,1.5794781469739974,0.0007237755693495
A3BC,3,75,286,1.1204631943255663,0.0001456170016899
A3BC,4,231,1001,1.0958131733350456,0.0001703534182161
A3BC,5,636,3003,1.1186776841059327,0.0001992106530815
A3BC,6,1603,8008,1.2192731159739196,0.000269183339551
A3BC,7,3737,19448,1.2721613082103431,0.0004233467392623
A3BC,8,8163,43758,1.6042251088656485,0.0007174495374783
A4,3,11,84,1.1131968018598857,0.0001588606508448
A4,4,22,210,1.1289860364049673,0.0001602897979319
A4,5,40,462,1.034554890356958,0.0001471635978668
A4,6,72,924,0.9923664489760996,0.0001483931299299
A4,7,120,1716,1.0510762729682028,0.000221687471494
A4,8,195,3003,1.0493659181520345,0.0001973494002595
A4B,3,30,286,1.1278594359755516,0.000160188358277
A4B,4,83,1001,1.093404573854059,0.0001701972493901
A4B,5,208,3003,1.1009916896000504,0.0001804325403645
A4B,6,495,8008,1.159833564888686,0.0002693404816091
A4B,7,1101,19448,1.3021939927712085,0.0004230180801823
A4B,8,2327,43758,1.5678323050960898,0.0007416791422292
A5,3,12,286,1.1120950509794056,0.0001597973098978
A5,4,29,1001,1.0939930668100717,0.0001737491507083
A5,5,64,3003,1.110281112138182,0.0002039015805348
A5,6,140,8008,1.2156298249028623,0.0002727823983877
A5,7,289,19448,1.272511389106512,0.0003896262822672
A5,8,580,43758,1.624273246154189,0.000754735157825
ABC,3,20,20,0.9889518460258842,0.0001348421210423
ABC,4,35,35,1.013970009051263,0.0001362680969759
ABC,5,56,56,0.9791146381758152,0.0001576473983004
ABC,6,84,84,1.032860696781427,0.0001585666788741
ABC,7,120,120,1.0272381510585546,0.0001574697718024
ABC,8,165,165,1.0451442473568022,0.0001651335181668
ABCD,3,84,84,1.1285929302684965,0.0001588841294869
ABCD,4,210,210,1.1754100010730326,0.0001608581002801
ABCD,5,462,462,1.0953384791500866,0.0001640300592407
ABCD,6,924,924,0.9918607152067124,0.0001515237893909
ABCD,7,1716,1716,1.0495945648290217,0.0001833806280046
ABCD,8,3003,3003,1.0527255958877504,0.0002022418007254
ABCDE,3,286,286,1.1091682729311287,0.0001618890278041
ABCDE,4,1001,1001,1.1660932647064328,0.0001800329564139
ABCDE,5,3003,3003,1.1960504218004644,0.0002054954506456
ABCDE,6,8008,8008,1.1302127777598798,0.0002473576599732
ABCDE,7,19448,19448,1.2938223867677152,0.0004516420187428
ABCDE,8,43758,43758,1.5156378229148686,0.0007864232407882
