system,order,num_pips,num_flat_exponents,jit,run
A3B2C,4,524,3876,1.1110240509733558,0.0002271807100623
A3B2C,5,1827,15504,1.332836150075309,0.0004247903102077
A3B2C,6,5835,54264,1.824949700036086,0.0011870017298497
A3B2C,7,17198,170544,3.1490403648931533,0.005977042990271
A4B2,4,194,3876,1.20577601401601,0.0002298698399681
A4B2,5,609,15504,1.3182193619431928,0.0004284766095224
A4B2,6,1810,54264,1.8413034910336137,0.0012144900602288
A4B2,7,5056,170544,3.1599163870560005,0.0058065358002204
A4BC,4,317,3876,1.2107684679795057,0.0002060147700831
A4BC,5,1053,15504,1.338943292037584,0.0004268313595093
A4BC,6,3250,54264,1.767104867962189,0.0011938985600136
A4BC,7,9343,170544,3.1006050860742107,0.0057872593495994
A4BCD,4,1105,12650,1.4126987230265513,0.000403591330396
A4BCD,5,4672,65780,2.3108118349919096,0.0014968467608559
A4BCD,6,18225,296010,5.8826486569596455,0.0217357001802884
A4BCD,7,32912,577902,10.50500387197826,0.0418274710001424
A5B2C,4,697,35960,1.9645191710442305,0.0008675190003123
A5B2C,5,3060,237336,5.982266815030016,0.021543320720084
A5B2C,6,12925,1344904,29.307172334985808,0.1215516105305869
A5B2C,7,52210,6724520,140.726863197051,0.6242584051401354
A5BC,4,355,12650,1.4282713499851525,0.0003983722801785
A5BC,5,1332,65780,2.250729517894797,0.0015525292407255
A5BC,6,4756,296010,5.812215615995228,0.021693719800096
A5BC,7,16117,1184040,19.87575070594903,0.085968780380208
A6B2C,4,712,91390,3.489058359991759,0.0063682267407421
A6B2C,5,3234,749398,20.68975866702385,0.0699750357097946
A6B2C,6,14483,5245786,136.1489444039762,0.4997673102596309
